Principal Component 1,Principal Component 2,Position
-380.66558937310276,66.72343757770223,C
-528.2578322222317,-27.15619950409094,SG
-589.0578575720106,-26.16783098372627,PG
-570.7741057762664,-27.239720604994922,PF
-142.25156564407763,-101.14593523717191,PG
-434.5336822332302,-23.729299680006246,SG
-168.33914818004297,74.18005787141391,PF
-491.8747399449553,13.112628814697501,SF
-426.2001065424012,-38.01784786333889,SG
-63.042539880914205,-67.2767546626585,SG
-251.95739461938768,20.557295516688328,PF
-573.3885398951347,-19.96006359908053,SG
-570.8109741783402,-17.308833409578426,SF
-533.754690955466,-12.708634946008548,SF
-338.0913290371565,10.227499672364338,SF
-276.60417530789397,5.093891610485294,PF
-90.83985429257507,127.34525122378942,C
260.1109556479422,-213.7470950168431,PG
41.39537916355846,-59.11659216974499,SG
109.55326183694945,57.007276448196436,SF
-325.6222041821535,60.33978998887024,C
-35.51635062520813,-64.0939841278232,PG
123.61346969824854,-63.45198557996987,SG
-288.43147208854936,-16.780109563297678,PF
-515.047725263425,-4.373516195019466,SF
-69.65780367259481,-101.15767887538334,PG
-430.6756244916967,-66.0390756113959,PG
167.3729892982385,-100.08649196168113,PG
-586.2012624218536,-25.38687798581581,PF
-589.6047380950996,-26.54561985861752,C
-398.28956762345547,-23.75552955840451,SF
-348.87123295980837,8.968339830810073,PF
-469.3361082951189,-54.16761487902537,SG
-238.2534376042135,-72.35632122135041,SG
139.20753564179404,-12.692719849674251,C
-60.37895519249207,150.67754688309515,C
-385.11129793936857,14.27365746921167,SG
-305.2000126890422,-16.772088578064142,C
118.68952872800537,-69.30815927668806,SF
-523.4128483455692,-29.254722361388943,SG
-193.6940331715245,-30.576012953081708,SG
-543.9678736021107,-12.640113813135322,SG
315.9826947572733,-14.284588867377368,PF
-573.3219292790251,-28.116521159644183,PG
-564.2869177747095,-27.398404876188604,PG
-571.647831736919,-25.13773006651037,PF
-143.3707876405864,-46.627701861187006,PF
-362.6675166278353,41.13446465986108,PF
-274.7923945777036,39.763911503069494,PF
-472.74967090797804,-23.95570876500415,SF
-539.1276734572932,-30.272488751402516,PG
-196.80368608661598,-40.39147677906949,PF
-526.7212667629797,-0.6835450987568414,C
-320.1004481400901,-27.115872805034158,C
-87.54893914631634,43.70533027533487,PF
-513.2395854410473,17.617317662128727,SG
-520.821011286012,-15.072844835863078,SG
-530.3401064583454,-15.779973031122209,SG
-395.03974241684944,-17.430366944828062,SG
-176.29602591790984,87.28057950289444,C
-401.55412888372086,55.59415827676318,PF
-66.68269281009316,-17.6403766716833,PF
-376.4260125362864,43.7249096076082,PF
-254.70431130049087,-64.30662080413256,SG
-389.8822812065117,-28.281078223023602,SG
-539.7995904364224,-28.467112841515583,PG
-471.9668374734109,-22.74970109316163,SF
-29.81284525586625,-130.07923819883916,SG
-542.093524672151,-10.763951512178307,PF
-467.9138711412125,-50.09798056085742,PG
-161.98122147261847,-11.22848854549077,PG
-351.9192265277194,-19.984501828348833,SG
-45.60592458324925,44.52437019206083,SG
-528.78646259934,-20.265110818197286,SF
-447.4451965672356,-1.744168603298764,SG
-559.294541358191,-27.52962096460785,SG
-231.1744682296876,-36.00626082610771,PG
-166.75175381196124,13.978899702978651,SF
-433.5308824273234,-3.814433555330961,SF
-308.8529167975769,-40.95223223495711,SG
94.26355782353744,-18.89130944331679,PF
-436.4326504129873,20.951347606277416,SF
-590.9789351495506,-25.74477669156274,SF
-331.38472765327066,106.31154799787474,C
-425.4985027315646,-0.13649429090325782,PF
-548.0948074889534,-27.857047468790952,PG
-541.5950934282334,-4.50232707958471,C
267.0937920787627,145.72129590235204,C
-512.3324287160169,-34.5941647668782,PG
-167.00378323668969,89.03284595141686,PF
-532.3215045408239,-4.52279294203327,C
-200.05185043775464,14.53267109532517,SF
-508.9656300638273,-11.657899834319643,C
-175.6461202859956,27.4773336649666,SF
-437.34009802554345,-2.158881860349098,PF
-291.4972407239977,-51.75813059097417,SG
-379.06783435809666,-16.30788687854885,SG
-357.49088017491295,-1.789878951149582,SG
34.40063443809777,-52.273270095919614,PF
-299.018869038213,-17.690744202219374,SG
-480.86458285275626,9.056087126806403,PF
-286.0342003271796,-28.371532906103113,SG
-155.71733283290774,-96.02458834919891,PG
-442.8989426440646,-39.99369293465389,SF
-187.34129597202582,-41.67970813306165,SF
-566.529400563071,-18.901805919606275,PF
-536.3086304385212,-25.642073499350225,SG
-324.9021416193392,-11.10040548110608,PG
-481.0659502815281,-8.261119578263617,SF
-382.64036596014023,-10.262483104048552,C
-438.3007022801097,-8.632250282052343,PF
-442.6705360044904,8.363352977443597,C
-383.840386980734,-16.054060628325132,PF
-479.02801905335565,-36.23038937359492,PG
138.01227844899665,-114.58161251904184,SG
-384.10086384505075,1.5954352585815386,SG
89.6057422914073,-124.46300983724488,PG
-437.0991597197667,-8.075338742338797,PF
-60.25881835643395,-5.181475061248957,PF
156.88208694616378,-76.09538180948667,SF
-585.7156218521059,-24.97308761563154,SG
-588.452201825492,-21.52039674508792,C
-443.81818228723733,-9.937801643267736,SG
-501.7730477938959,-25.818749725045965,PG
-258.1963508019239,19.55412846551677,SF
72.06032185020263,-63.34975208040517,PG
-559.3130992021422,-23.934252572099496,C
-395.1859844422729,-40.09013467238726,SG
-585.1975692631754,-24.731922969273352,SG
-462.3765367015649,-35.29227724296981,SG
-362.7259901539581,-38.453364409142296,PG
-592.5427266345354,-24.50041895076578,SF
-56.5379722101635,-71.63774368176658,SG
-158.54096073443196,-75.42665505376121,SG
-566.9126008885062,-20.93518382911977,SF
-460.8347812294859,-50.84707069837541,PG
-414.4475246881582,-52.234259457847074,PG
-490.0556457787784,1.6300069410481868,C
-401.8569690238496,90.86609725712671,C
-420.2388102734925,9.343669518138057,SF
-358.94077667608224,-23.62690877088273,SG
-556.3089243215534,-21.456746816251716,SF
-526.2578993307267,16.4779186177851,PF
24.001031902345062,3.0601460954896034,SF
16.355887359225903,-93.97185914747239,SF
-328.44387256863683,-61.219402343413,PG
-219.73638825341442,5.721734232141291,PF
-301.17322277418845,-51.96781974218054,PG
-511.97586008677865,14.460205809969622,C
-434.39762972018127,-39.30192690776525,PG
-181.3771245698028,9.87034636049335,C
-386.1725642657332,-33.998616771013154,SG
-67.74055416859039,65.72570200816939,C
-293.96485618275915,-32.838026227459416,SF
-165.276773780194,14.545259651875867,C
-417.96986172698075,46.38044823255707,C
-297.0039839649344,74.34229560767123,C
-403.1517351112394,51.76755969694878,C
-549.0126294699822,-29.629384919484963,SG
-273.15434869455527,-41.42163048340047,SG
-446.7903360682701,10.685149467303106,PF
375.0570169149154,0.6834789661326504,C
-396.46685188670233,-12.073591876672587,PF
136.79667515997573,79.1559278417148,C
-376.0125800450193,1.1655209382003306,PF
33.13154310477387,-100.64646790582403,SG
-25.58277353328208,-10.177730275316211,PF
-248.78703907668194,-3.385382385469544,PF
-204.27206521848797,-9.309039703777856,SG
-537.9461669828526,-6.8423095307629325,PF
-258.20919526736355,49.809481397533446,C
-575.1190685453407,-22.897623545454937,C
-525.6831136777803,-2.532626623694828,PF
-213.6015455746566,57.45775765681147,PF
-572.8024478724049,-20.648503700202134,SG
-441.46286890385966,-27.948078221063614,PF
131.16963500420172,4.550208617623447,PF
-504.60403852494005,-12.218214753027656,SG
-576.4452583582287,-26.768300067601956,PG
-566.3468530700884,-21.30293878712047,SF
-333.5408491859819,-5.96610128455286,PF
-560.3874275754724,-31.201544932297107,PG
-253.5013533832343,-31.942277751621006,PF
-486.93001896203555,-13.73321667216011,C
-51.61610104241015,-65.36972565071957,PG
-489.8320764921972,-27.804985528728267,SG
-299.3139318883552,-5.884044354399222,SF
-511.5586757972525,26.615434152337585,PF
-277.6860547987213,3.2689194939413007,SG
-485.7255727565605,-35.85170234670368,PG
81.83246594998866,-62.25639901912448,SG
-508.33290285717374,-16.95118161401205,SG
-483.01505816966977,-27.2925298749624,PG
-528.781488050178,-33.863912200883846,PG
-582.1382850273366,-22.229425696605738,PF
-459.6588245294454,-17.482937030019606,SF
-506.06325491311213,2.634675385352864,C
-372.3609371166752,8.615540390420108,SF
-225.20625744325451,30.25431637231808,SF
-232.4989334946559,18.79571092809298,PF
-161.72659871061273,-65.19440177907595,PG
-400.66865728098185,1.088082136122324,SF
-510.9756001022929,-22.434749376236518,PG
-371.7306286790456,-8.281575942273658,PF
-379.25451553043195,-40.02619778278339,SG
-490.08777108380633,4.271939716969477,PF
-132.18597630480184,52.281924945283194,PF
-285.71745717090636,-77.70037378892069,PG
-150.8015347715256,-22.830979236478125,PF
-189.92705394076393,-68.96346208341788,PG
-442.115576604374,-25.582670638848295,SG
-158.54562005482887,-62.008993231343965,SG
431.52251521073606,-147.40513769170434,PG
-375.4139338089998,-48.532096820320106,SG
-381.6095155334983,-49.11324130990799,SG
-577.9702821334398,-24.88594730889089,SF
-384.13783925037694,-1.4273158987091215,SF
-284.6901505266204,-70.60348598787385,PG
-590.4280883630154,-22.44585393361892,SG
9.363862842371873,-102.40294056896198,PG
-219.25455488136106,-74.1384010804968,PG
-516.5153463910865,-34.692000208953395,SF
-205.49453691588275,-83.92432980771811,PG
-545.6984873539398,2.579968751649286,C
-410.45987229016595,-30.021958491742517,SG
-290.20015871897044,42.933119359923595,PF
-329.4122117518278,12.796673320719087,SF
-577.1379856195159,-16.51800526842653,PF
-587.1963475414461,-21.031180945761037,SG
-430.8907942544846,-10.425773073404532,SG
-244.25201860846084,-26.107650780168054,PG
-500.51836773654077,6.7188815371120825,C
-546.5288316440698,-7.014478760987139,C
-549.489001433985,-12.530565231187836,C
-424.1964388821823,37.99900210959558,PF
-298.5817493697036,-51.93498045219218,SG
-166.85655367935817,35.162864135951956,PF
-529.0800582673334,-18.679900212729297,SF
-272.463953795662,49.123080953191035,PF
148.53485984883923,-227.22325267732288,PG
-276.0614797678437,54.12383216998727,C
-525.50488503913,-34.61149712216818,PG
-405.5284094274799,-45.425041096179115,PG
-480.7175106995012,-22.10271485687241,PF
-585.9052543653105,-24.52911260280403,SF
-549.6219143093651,-32.099986481499414,SG
-586.2051912664648,-28.308506858891445,SG
-423.6537005104734,19.053760122925354,PF
-182.03574783193704,-47.49204188947458,SF
-306.53875924312837,-5.095631458011923,SF
-554.5431553864482,-4.23782033421837,PF
-592.5129178894782,-27.280220757956677,SG
-250.6230240845053,-78.56862747043071,SG
159.3690437600162,-85.14373121919482,SG
-546.5446307917343,-29.674507463876395,PG
-571.6892322395138,-21.850875196379558,PF
59.244367820913794,-162.0315100845521,PG
-465.5535476861148,-12.647101915369424,SG
36.62495905300045,-128.06846410924976,PG
-154.4166094727923,-120.51944425204762,PG
-411.8733901679207,-47.237720643446984,PG
182.10262258255648,45.184782098267306,C
-575.4990570954609,-23.53656494729065,SG
-523.8773523675259,-21.659681107904998,PG
-259.5280701009656,152.4758828538204,C
-396.8444296915137,54.63917676280887,C
-524.8236896469717,-8.982018513676618,SG
-560.2950547630517,-4.078588100802712,C
-569.4774056778195,-31.453278093501893,PG
-221.50474225894845,137.42382550652246,C
-220.11710210306597,-13.575457024493991,SF
-423.37321839751854,-1.0406749856736788,C
-331.9319403271651,62.155510309730715,C
41.793301990299256,-87.01549241575633,SF
-572.9325642048683,-25.763575885277046,PF
-393.1567152552105,8.106514568880634,SF
-447.7341496915003,-24.171405403312864,PF
-334.9704185760467,-32.23932019214866,SG
-449.2042972956432,-17.930876819403792,SG
-544.2610907134735,-21.86677763044954,SF
544.425616480302,75.98651383514664,PF
-50.16561323368944,-81.22868422005277,PG
330.67432396602874,0.03197481069576824,SF
-14.118322776857667,-6.963866066671166,SG
-564.7611368616806,-19.703129944881166,PF
88.80477378326896,155.53645862662927,C
110.6641939088878,-66.80453747453025,SG
-44.50580603375022,-63.8677282004204,SG
-440.32949003063027,-29.200689586181042,SG
-424.6841172439298,8.367025078424668,PF
-580.264955747147,-22.04321039301773,PF
-439.9186637730896,4.146454472740356,PF
209.20792997882654,-31.79127978710821,SG
-579.8412155792677,-24.93454054665819,SF
-591.168534060934,-25.3010885442022,SF
-433.8977456252759,43.32039021733881,C
-590.503316315362,-26.2132474057526,SG
887.6141164151801,92.9291803156575,C
-569.8519542686286,-26.11697090797623,PG
116.07024020855113,143.5355368828071,SF
-102.1148464560411,-20.33394891000676,SF
248.38083368999617,445.58263247689683,C
-434.37775470547814,25.3928849010656,SG
87.4012935871408,-150.0888823442346,PG
402.8347431288487,22.829499148287944,SF
473.2373795761315,-193.84645940641497,SG
-239.1307342486025,-5.474901151336734,PG
1504.2187253460902,348.46477392717486,C
1528.091723759137,-224.16473850159684,SG
-383.4603392063194,4.720697096831394,PF
-549.8887453380036,-20.86348660082375,PG
-496.2120296329089,-25.84856247695533,PG
72.39140781694653,166.84048558280267,SF
812.3064849843821,-169.5134460595587,SG
381.8832792414348,-121.3106174303817,SG
960.2127896271917,231.50191295394825,C
-321.80091763448695,-22.14831454782169,SG
297.9727831134909,-39.947354255640704,SF
3.2038376135841418,48.76117416829693,SF
-283.9417200829989,-69.90193299425785,SG
-542.6565494693286,-9.656582642413838,C
665.3361163263286,237.79488321109523,PF
782.2381478440856,-155.8099910868911,SG
279.73341501965433,-104.3011022038765,PF
-25.5659814836564,-84.85068161498742,PF
-290.2000843034599,-45.71431419671271,SF
-341.7456868281562,44.99495832538291,PF
-321.0431198607013,-69.44097910221538,PG
427.14412955126863,-125.96246014828273,SG
224.4831920665008,90.35925531544899,SG
-420.8030831263819,-18.344997201498792,SF
-520.2837660152948,-14.975241773520963,PF
816.8226934941121,-158.37188189580098,SF
730.02357997366,-72.93058606502919,SF
-537.9297210373968,-32.7958656829478,PG
-567.7200793958418,-18.86472663498508,SF
-328.75982442691367,-8.329013439260653,SF
483.4247136728901,106.40218573435597,C
207.11255179666455,-4.970033063762646,SG
-156.9002735627172,-14.01252279445258,SG
-231.48665357656233,-17.221385239367436,PG
-263.4448297720339,68.99558778562617,C
-272.0607134299434,-17.954825099570147,SG
-560.1897130979258,-25.311760965287323,SF
479.98178301414316,-89.12313140523611,SF
65.40432371887937,-60.112512836985026,SF
-180.92201526718327,-55.27453233031565,SG
785.7800979439868,-163.85757120034958,PG
886.9173712999376,-268.2659518250201,PG
-327.8721558216747,-14.973708189991735,SF
116.46711197762465,32.798799433744,SF
-311.08705780077617,-11.702402948895731,SF
890.0588537611042,-209.18753692551843,SG
6.987354737579835,5.118002823476637,SF
232.92875032557174,-18.883689219527824,PF
20.191656232869263,-126.76948880936634,PG
-283.5316790660275,-77.15901548603972,PG
-291.7761404369136,-75.87439000184006,PG
447.34722429196347,-118.21100941437263,SG
12.079755458740237,-23.09686268128751,SG
-60.477119671528044,-16.99033364637672,SF
-508.89201809242303,20.055396208264604,C
911.9273790313126,209.94708365346992,C
-215.91733636757044,57.878201321998276,C
-384.94924710045154,25.42112476874155,C
-426.46755952480225,6.193193446672481,C
-227.05747009192282,83.54357840089232,PF
-338.9837509893688,1.771167590239557,SF
-563.8805128353406,-15.404528580135349,SF
47.789860231045395,-110.31477739601446,PG
84.53016846422179,67.94444419206921,SG
-184.26298400981278,108.98131127268117,PF
-467.1374288625678,14.098992483116028,SF
440.632569233028,456.72800496701274,C
999.462315645031,-184.68869246906098,PG
-343.854598081081,-17.403278282494504,SF
-482.8766581515827,38.90971260178419,C
-519.4412306985653,-12.416250259531243,SG
421.25420931359974,-38.83843671497387,PG
-553.1980371477213,-30.356256528062836,SF
-502.21684622599855,-37.2642002938198,PG
902.2206950876924,-297.5952315940423,SG
502.2025535401043,-104.9368815713169,SF
-519.4470906899924,-30.78282400506428,PG
-272.93061373568486,-37.71024654042826,PG
848.3461863750512,-295.55725321302333,PG
-581.4087987878614,-31.054522247599486,SG
-583.4153282797798,-26.283921003507228,SG
-579.9610234346482,-26.69836163324807,SG
-568.0045565061156,-31.696346679445032,PG
3.9699132514756457,-33.84478759151446,PG
-528.7739506814307,-14.961617788168484,PG
-62.75562237305212,-45.14698115140463,PG
-376.19645947734597,2.3812403057423026,SG
-473.41121383554724,1.7173378443491458,C
1256.6291587638302,-314.7482393323566,PG
-157.06933138878844,91.83313836844385,C
-158.93395950472586,92.21473575022002,C
-290.53804733370924,-10.63353107637209,SF
-397.56797117577906,-8.798912881565862,PF
-540.3514202984456,-29.23107971419578,SF
-543.6176073222586,-25.131349376225923,SF
-120.46141145904494,-49.248681210705385,PG
-437.4723425316568,-16.02821356207343,SF
-0.8248906050853293,55.89928412007164,C
-590.8965552113636,-24.57460431816058,SF
-540.4224697341409,-13.622915335396325,PF
-541.1025642256687,-13.597890713664547,PF
483.7904534157766,-258.90058886677457,PG
-567.1898247099065,-24.89737723562752,SG
-118.72217381732207,39.6594055950447,PF
-143.41378155729035,36.22264141662628,PF
-570.807863976163,-22.82708217720679,PF
-187.10162529524337,-76.36529173899189,PG
-72.60200745873101,197.7523331971447,C
1428.4925390783505,-295.34285585494126,PG
321.2753001129977,-42.69581495233794,SF
-135.0325401533974,-35.732206639828135,SG
-536.8363612756734,-8.005214716626337,SG
1361.8180493773061,-279.056898959492,SF
-247.356360379585,89.14210239600956,PF
467.08982411721024,287.4315723036584,C
1266.2653422482217,-225.7977159677984,SG
-347.8566879234621,-45.61783417521842,PG
-435.0250337321976,-37.6318649992799,PG
-508.3311373225297,-34.249869857678014,PG
653.2020132797994,105.12344001327973,SF
620.0277058924829,-248.3590687437606,PG
159.59274452185525,-178.3581378129752,PG
-135.06451994761886,-96.26483280229559,PG
-159.4003461963179,-46.37368540479389,PG
-15.463861376032582,190.56364224653265,C
-579.246418062637,-25.055099370597134,SG
111.17667995649197,35.86277326025115,SF
-388.579681283855,-58.550830643984234,PG
608.4351911471873,-128.07316050928517,SG
436.45717290598975,-157.61598276436337,SG
1307.4419011880996,-319.84395330032874,PG
773.8951582675069,-176.19225973622133,SG
-468.5181656891639,-38.79125697395555,PG
-571.488714971376,-24.328905164083803,SG
358.09113638108295,-42.6093204422268,SF
1360.0396732532581,341.26038948916516,C
-419.27432496269216,29.281071456411034,PF
922.5705607246019,-211.5333402674865,SG
715.8479681117398,-105.38967500843864,SG
65.34393766620644,92.2013429347676,PF
-236.26306535826956,-73.77450943770057,SF
-312.2432433173188,-62.97942588356677,SF
-519.5193114149808,-37.05887843265501,SF
34.73225701096953,83.5522307493522,PF
-129.75092842259653,158.85313433984305,C
-551.6634686977089,-27.78529534133315,SG
311.86581489900675,-128.7953148307327,SF
70.79977907780778,46.02957158023564,C
-319.1260520746853,83.19128096455886,C
-157.7212712671731,37.07879460323379,PG
-298.26757974733164,-43.865875742409216,PF
-549.4920405577612,-29.72417244131505,PF
-344.2750310653598,-40.405677708366106,PF
-589.8959827309293,-22.955275191328404,PF
-551.042604743322,-26.202890478247923,SF
170.60198732374909,-124.07557899317011,SG
-368.6090702914248,-8.350403778704617,SF
-361.9664218100331,-39.70218601693538,SG
-582.313705612164,-26.598265584684373,SG
-375.15219507738584,-39.36778763222392,SG
312.47295446423095,165.13129448379328,PF
-588.2743385963347,-23.816053707934824,PG
900.1847697635284,-87.19761543708256,SF
791.5544380606403,-285.9920227754106,PG
-498.79848638055967,-28.416675843048175,SG
128.7321748723374,-14.440836136818577,PF
-556.6031720194021,-34.678666802622445,PG
-493.8297545809604,-16.721751574833814,SG
-256.40461773737263,-24.999020197657988,SG
-201.5664544767866,-57.3739162753302,SG
-325.8379724243841,5.0909948699647,SG
396.38211752637073,-104.45411644308791,SG
225.03716344088832,24.909898847325394,PF
1826.9523869011118,71.79982532132995,PF
-200.2915339130717,135.00849741858275,C
-42.23226582865607,-35.4235779899679,SF
-198.8210678063599,-45.32304854097683,SF
-438.9106834207685,-16.364436492601662,SF
-65.42659719388189,-40.96792778136809,SG
267.8981970789114,25.0291584402282,PF
-170.88710968474373,13.563887587774182,PF
-156.7141752076888,-14.798605376710277,PF
487.07433393638587,-62.414784567829486,SG
-577.9136890550809,-22.568670499342943,PF
-501.36018336442294,-5.721334619677581,PF
433.95104931100775,-46.66348123369977,PF
-532.9126146641819,-13.38095509481221,C
-536.0370688869875,-16.41008442933977,C
-137.4571345974739,48.67197887155571,PF
-583.1355418351442,-26.627461671741983,SF
312.4310166261166,-35.13504768030833,SF
626.1000315977398,-170.9241393619501,SG
-137.75644137210617,-78.76462712685556,SG
168.35699536376603,-118.42342550710602,PG
99.07688446510383,-28.079497105449224,SF
178.86558216869764,327.89244691276974,C
-153.3630157600627,91.0844161520551,C
73.71610958719509,-35.01226089646053,SG
-469.1320010956882,-17.519588970853363,PF
-569.797204271699,-24.768676778851102,PF
-18.70259018556021,113.23896383193393,PF
-414.4535393439619,-51.71233264222896,PG
-569.3952827695485,-19.03787417117428,SF
-573.9989593749747,-22.25399339395234,SF
-575.5875617524352,-25.02653390993922,SG
-359.01420992983526,52.25499547638634,PF
-355.34777401649444,-58.22797324935508,PG
-380.42595001899656,41.88013905180537,C
591.096424180823,258.90415518330155,PF
168.7237654977439,260.2574528681915,SF
-392.36058953983036,-81.05394410392559,PG
-394.739484705098,-80.73183063605333,PG
-580.6708252441001,-23.893860271254656,SF
-39.91632587100992,-63.073433305742626,SG
649.4456008092603,-152.50152784522663,SG
201.77692423772862,-18.884392756778293,SF
-409.1848771190348,-8.946719907848546,PG
-450.2952047562102,-15.645623370340758,SG
-554.3891511507915,-19.564934558178674,PG
